;correct_spelling;misspellings
126;navn;['nanv'                 , 'nvan'        , 'nvna'        , 'nnav'        , 'nnva'        , 'anvn'        , 'annv'        , 'avnn'        , 'avnn'        , 'annv'        , 'anvn'        , 'vnan'        , 'vnna'         , 'vann'   , 'vann' , 'vnna', 'vnan', 'nnav', 'nnva', 'nanv' , 'nvna', 'nvan'], 
127;meget;['eget'                , 'mget'        , 'megt'        , 'mege']       ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
128;gennem;['ennem'              , 'gnnem'       , 'genem'       , 'genem'       , 'gennm'       , 'genne']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
129;bare;['baer'                 , 'brae'        , 'brea'        , 'bera'        , 'abre'        , 'aber'        , 'arbe'        , 'areb'        , 'aebr'        , 'aerb'        , 'rbae'        , 'rbea'        , 'rabe'         , 'raeb'   , 'reba' , 'reab', 'ebar', 'ebra', 'eabr', 'earb' , 'erba', 'erab'], 
130;formular;['ormular'          , 'frmular'     , 'fomular'     , 'forular'     , 'formlar'     , 'formuar'     , 'formulr'     , 'formula']    ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
131;sætning;['ætning'            , 'stning'      , 'sæning'      , 'sæting'      , 'sætnng'      , 'sætnig'      , 'sætnin']     ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
132;stor;['stro'                 , 'sotr'        , 'srto'        , 'srot'        , 'tsor'        , 'tsro'        , 'tosr'        , 'tors'        , 'trso'        , 'tros'        , 'ostr'        , 'osrt'        , 'otsr'         , 'otrs'   , 'orst' , 'orts', 'rsto', 'rsot', 'rtso', 'rtos' , 'rost', 'rots'], 
133;tænke;['ænke'                , 'tnke'        , 'tæke'        , 'tæne'        , 'tænk']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
134;sige;['sieg'                 , 'sgie'        , 'sgei'        , 'seig'        , 'segi'        , 'isge'        , 'iseg'        , 'igse'        , 'iges'        , 'iesg'        , 'iegs'        , 'gsie'        , 'gsei'         , 'gise'   , 'gies' , 'gesi', 'geis', 'esig', 'esgi', 'eisg' , 'eigs', 'egsi' , 'egis']
135;hjælpe;['jælpe'              , 'hælpe'       , 'hjlpe'       , 'hjæpe'       , 'hjæle'       , 'hjælp']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
136;lav;['lva'                   , 'alv'         , 'avl'         , 'vla'         , 'val']        ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
137;linje;['inje'                , 'lnje'        , 'lije'        , 'linj']       ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
138;afvige;['fvige'              , 'avige'       , 'afige'       , 'afvge'       , 'afvie'       , 'afvig']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
139;tur;['tru'                   , 'utr'         , 'urt'         , 'rtu'         , 'rut']        ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
140;årsag;['rsag'                , 'åsag'        , 'årag'        , 'årsg'        , 'årsa']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
141;meget;['eget'                , 'mget'        , 'megt'        , 'mege']       ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
142;betyde;['etyde'              , 'btyde'       , 'beyde'       , 'betde'       , 'betye'       , 'betyd']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
143;før;['øfr'                   , 'ørf'         , 'rfø'         , 'røf']        ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
144;træk;['trkæ'                 , 'tærk'        , 'tækr'        , 'tkræ'        , 'tkær'        , 'rtæk'        , 'rtkæ'        , 'rætk'        , 'rækt'        , 'rktæ'        , 'rkæt'        , 'ætrk'        , 'ætkr'         , 'ærtk'   , 'ærkt' , 'æktr', 'ækrt', 'ktræ', 'ktær', 'krtæ' , 'kræt', 'kætr' , 'kært']
145;højre;['øjre'                , 'hjre'        , 'høje'        , 'højr']       ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
146;dreng;['reng'                , 'deng'        , 'drng'        , 'dreg'        , 'dren']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
147;gamle;['amle'                , 'gmle'        , 'gale'        , 'gaml']       ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
148;også;['ogås'                 , 'osgå'        , 'osåg'        , 'oågs'        , 'oåsg'        , 'goså'        , 'goås'        , 'gsoå'        , 'gsåo'        , 'gåos'        , 'gåso'        , 'sogå'        , 'soåg'         , 'sgoå'   , 'sgåo' , 'såog', 'sågo', 'åogs', 'åosg', 'ågos' , 'ågso', 'åsog' , 'åsgo']
